id,group,pred_score,is_recid,groundTruthLabel,c_charge_degree,priors_count
1,0,1,0,0,F,0
3,1,3,1,1,F,0
4,2,4,1,1,F,4
5,2,8,0,0,F,1
6,1,1,0,0,F,2
7,1,1,0,0,M,0
8,1,6,1,1,F,14
9,1,4,0,0,F,3
10,1,1,0,0,M,0
14,1,4,0,0,F,0
15,2,6,1,1,M,3
16,1,1,0,0,M,0
18,1,4,0,0,F,0
19,0,1,1,1,F,1
20,1,3,1,1,F,7
21,1,1,0,0,M,0
22,1,10,0,0,F,3
23,1,5,1,1,F,6
24,1,3,1,1,F,5
25,0,6,1,1,F,13
26,2,9,1,1,F,1
27,1,2,1,1,M,0
28,2,4,0,0,F,0
30,2,4,1,1,F,1
32,1,1,0,0,M,1
33,1,3,0,0,M,0
37,1,3,1,1,F,8
39,1,7,1,1,F,5
40,1,10,1,1,F,0
41,1,9,1,1,F,9
42,1,8,1,1,F,4
45,0,1,0,0,F,0
50,0,3,1,1,F,7
52,1,5,1,1,M,4
53,2,2,1,1,M,1
54,1,9,1,1,F,21
55,1,2,0,0,M,0
56,2,8,0,0,F,2
57,0,1,0,0,M,2
59,1,2,1,1,M,2
61,0,2,0,0,F,7
64,1,7,1,1,F,0
66,1,10,1,1,M,9
67,1,8,1,1,F,13
68,0,1,0,0,M,0
70,1,4,0,0,F,0
71,1,2,1,1,F,1
72,1,2,0,0,F,0
79,1,5,1,0,F,15
80,2,4,1,1,F,2
83,1,7,0,0,M,0
84,0,1,0,0,M,4
85,0,5,0,0,F,8
87,1,3,0,0,F,5
90,1,10,1,1,F,15
91,1,2,1,1,M,4
93,2,4,1,1,F,1
96,1,9,1,1,F,4
97,0,1,0,0,M,0
98,1,6,1,1,F,6
99,1,1,0,0,M,0
100,0,1,0,0,M,0
101,0,1,1,1,F,6
102,2,4,0,0,F,1
105,1,4,0,0,M,1
107,1,6,1,1,F,5
108,1,6,1,1,F,1
111,1,2,0,0,F,2
113,2,3,1,1,M,1
114,2,8,0,0,F,0
115,1,4,1,1,F,1
119,1,2,0,0,F,0
120,1,2,0,0,M,1
122,1,10,1,1,M,8
127,0,1,1,1,F,0
128,1,10,1,1,F,14
130,2,5,1,1,F,0
131,2,9,1,1,F,2
136,1,2,0,0,M,1
137,1,7,1,1,F,9
138,1,8,1,1,F,7
139,2,6,1,1,F,1
142,1,8,1,1,F,9
143,0,7,0,0,M,12
145,2,7,0,0,F,0
146,1,1,1,1,F,2
148,0,1,0,0,M,0
150,1,1,0,0,M,0
151,2,4,1,1,M,1
153,1,2,0,0,F,1
154,1,1,1,1,F,0
156,2,6,1,1,F,8
157,1,4,0,0,F,0
158,1,5,0,0,M,0
159,1,4,0,0,F,1
163,1,1,0,0,F,1
166,2,9,1,1,F,3
169,1,4,1,1,M,5
171,1,5,0,0,F,0
173,1,5,1,1,F,5
174,1,2,0,0,F,3
175,1,2,1,1,F,1
176,1,9,1,1,F,10
177,2,4,1,1,F,0
178,1,8,1,1,F,28
180,1,7,0,0,M,1
182,1,2,0,0,F,1
183,1,10,1,1,F,13
184,1,9,1,1,F,3
189,0,9,0,0,M,3
190,1,10,1,1,F,19
194,1,3,0,0,F,6
195,1,4,0,0,F,2
197,1,2,0,0,M,1
199,1,1,0,0,F,2
200,1,2,0,0,M,2
202,1,2,1,1,M,0
203,2,2,0,0,M,0
206,1,4,1,1,F,10
208,1,2,1,1,M,2
210,1,7,1,1,F,3
213,1,3,1,1,M,2
215,1,2,1,0,M,1
216,0,2,1,1,F,1
218,0,4,0,0,F,4
220,2,10,0,0,F,1
222,1,1,0,0,M,0
223,1,8,1,1,F,9
224,1,6,1,1,F,11
225,1,5,1,1,M,8
227,1,3,1,1,F,0
228,1,9,1,1,F,7
229,1,9,1,1,F,2
231,2,6,0,0,F,0
232,1,6,0,0,M,0
234,0,1,1,1,F,1
235,0,7,1,1,F,13
236,0,1,0,0,F,1
238,1,10,1,1,F,4
239,1,4,0,0,F,1
240,0,2,0,0,F,1
241,1,4,1,1,M,2
243,1,4,0,0,M,1
244,1,7,1,1,F,3
245,1,7,0,0,F,1
246,0,2,0,0,M,2
248,2,2,0,0,F,1
249,0,1,1,1,F,6
252,1,5,0,0,F,0
254,1,2,1,1,M,1
257,2,3,0,0,F,0
258,1,7,0,0,F,5
259,0,1,0,0,M,2
260,0,4,0,0,F,8
264,1,9,1,1,F,8
265,1,6,1,1,M,6
266,0,1,0,0,F,2
267,0,2,0,0,F,0
268,0,1,1,1,M,1
269,0,1,0,0,F,0
271,2,2,0,0,F,0
275,2,5,1,1,F,1
277,0,8,1,1,M,23
278,2,2,1,1,M,0
279,0,1,0,0,F,1
281,0,1,1,0,F,3
282,0,4,1,1,M,8
285,0,3,1,1,M,0
287,1,9,1,1,M,2
288,1,4,1,1,F,0
289,1,9,1,1,F,9
291,0,3,0,0,F,2
293,2,3,1,1,F,0
294,1,2,1,0,M,2
297,2,4,0,0,M,1
298,1,3,1,1,M,2
299,0,1,0,0,F,1
300,1,3,0,0,M,0
