id,group,pred_score,is_recid,groundTruthLabel,c_charge_degree,priors_count
1,0,1,0,0,F,0
3,0,3,1,1,F,0
4,0,4,1,1,F,4
5,0,8,0,0,F,1
6,0,1,0,0,F,2
7,0,1,0,0,M,0
8,0,6,1,1,F,14
9,0,4,0,0,F,3
10,1,1,0,0,M,0
14,0,4,0,0,F,0
15,0,6,1,1,M,3
16,1,1,0,0,M,0
18,0,4,0,0,F,0
19,1,1,1,1,F,1
20,0,3,1,1,F,7
21,0,1,0,0,M,0
22,0,10,0,0,F,3
23,0,5,1,1,F,6
24,0,3,1,1,F,5
25,0,6,1,1,F,13
26,0,9,1,1,F,1
27,0,2,1,1,M,0
28,1,4,0,0,F,0
30,0,4,1,1,F,1
32,0,1,0,0,M,1
33,0,3,0,0,M,0
37,0,3,1,1,F,8
39,0,7,1,1,F,5
40,0,10,1,1,F,0
41,0,9,1,1,F,9
42,0,8,1,1,F,4
45,0,1,0,0,F,0
50,0,3,1,1,F,7
52,1,5,1,1,M,4
53,0,2,1,1,M,1
54,0,9,1,1,F,21
55,0,2,0,0,M,0
56,1,8,0,0,F,2
57,0,1,0,0,M,2
59,0,2,1,1,M,2
61,1,2,0,0,F,7
64,0,7,1,1,F,0
66,0,10,1,1,M,9
67,0,8,1,1,F,13
68,0,1,0,0,M,0
70,0,4,0,0,F,0
71,0,2,1,1,F,1
72,1,2,0,0,F,0
79,0,5,1,0,F,15
80,0,4,1,1,F,2
83,0,7,0,0,M,0
84,0,1,0,0,M,4
85,0,5,0,0,F,8
87,0,3,0,0,F,5
90,0,10,1,1,F,15
91,0,2,1,1,M,4
93,0,4,1,1,F,1
96,0,9,1,1,F,4
97,0,1,0,0,M,0
98,0,6,1,1,F,6
99,0,1,0,0,M,0
100,1,1,0,0,M,0
101,0,1,1,1,F,6
102,0,4,0,0,F,1
105,0,4,0,0,M,1
107,0,6,1,1,F,5
108,0,6,1,1,F,1
111,0,2,0,0,F,2
113,0,3,1,1,M,1
114,0,8,0,0,F,0
115,1,4,1,1,F,1
119,0,2,0,0,F,0
120,0,2,0,0,M,1
122,0,10,1,1,M,8
127,0,1,1,1,F,0
