id,group,pred_score,is_recid,groundTruthLabel,c_charge_degree,priors_count
1,3,1,0,0,F,0
3,1,3,1,1,F,0
4,1,4,1,1,F,4
5,1,8,0,0,F,1
6,3,1,0,0,F,2
7,3,1,0,0,M,0
8,0,6,1,1,F,14
9,3,4,0,0,F,3
10,0,1,0,0,M,0
14,0,4,0,0,F,0
15,1,6,1,1,M,3
16,0,1,0,0,M,0
18,1,4,0,0,F,0
19,0,1,1,1,F,1
20,1,3,1,1,F,7
21,2,1,0,0,M,0
22,1,10,0,0,F,3
23,0,5,1,1,F,6
24,0,3,1,1,F,5
25,1,6,1,1,F,13
26,1,9,1,1,F,1
27,0,2,1,1,M,0
28,0,4,0,0,F,0
30,2,4,1,1,F,1
32,0,1,0,0,M,1
33,3,3,0,0,M,0
37,1,3,1,1,F,8
39,1,7,1,1,F,5
40,1,10,1,1,F,0
41,0,9,1,1,F,9
42,1,8,1,1,F,4
45,0,1,0,0,F,0
50,3,3,1,1,F,7
52,0,5,1,1,M,4
53,0,2,1,1,M,1
54,1,9,1,1,F,21
55,0,2,0,0,M,0
56,1,8,0,0,F,2
57,1,1,0,0,M,2
59,0,2,1,1,M,2
61,1,2,0,0,F,7
64,1,7,1,1,F,0
66,0,10,1,1,M,9
67,1,8,1,1,F,13
68,0,1,0,0,M,0
70,1,4,0,0,F,0
71,0,2,1,1,F,1
72,3,2,0,0,F,0
79,1,5,1,0,F,15
80,1,4,1,1,F,2
83,2,7,0,0,M,0
84,1,1,0,0,M,4
85,0,5,0,0,F,8
87,1,3,0,0,F,5
90,1,10,1,1,F,15
91,0,2,1,1,M,4
93,1,4,1,1,F,1
96,1,9,1,1,F,4
97,2,1,0,0,M,0
98,1,6,1,1,F,6
99,3,1,0,0,M,0
100,1,1,0,0,M,0
101,2,1,1,1,F,6
102,2,4,0,0,F,1
105,1,4,0,0,M,1
107,1,6,1,1,F,5
108,0,6,1,1,F,1
111,1,2,0,0,F,2
113,1,3,1,1,M,1
114,0,8,0,0,F,0
115,1,4,1,1,F,1
119,1,2,0,0,F,0
120,1,2,0,0,M,1
122,1,10,1,1,M,8
127,3,1,1,1,F,0
128,1,10,1,1,F,14
130,3,5,1,1,F,0
131,1,9,1,1,F,2
136,1,2,0,0,M,1
137,1,7,1,1,F,9
138,0,8,1,1,F,7
139,3,6,1,1,F,1
142,0,8,1,1,F,9
143,1,7,0,0,M,12
145,0,7,0,0,F,0
146,0,1,1,1,F,2
148,0,1,0,0,M,0
150,2,1,0,0,M,0
151,1,4,1,1,M,1
153,1,2,0,0,F,1
154,0,1,1,1,F,0
156,0,6,1,1,F,8
157,0,4,0,0,F,0
158,0,5,0,0,M,0
159,0,4,0,0,F,1
